key,tnea_code,college_name
0,1,"University Departments of Anna University, Chennai - CEG
Campus, Sardar Patel Road, Guindy, Chennai 600 025"
1,2,"University Departments of Anna University, Chennai - ACT
Campus, Sardar Patel Road, Guindy, Chennai 600 025"
2,3,"University Departments of Anna University, Chennai - SAP
Campus, Sardar Patel Road, Guindy, Chennai 600 025"
3,4,"University Departments of Anna University, Chennai - MIT
Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600
044"
4,5,"Faculty of Engineering, Annamalai University, Annamalai Nagar,
Chidamparam 608002"
5,1013,"University College of Engineering, Villupuram, Kakuppam,
Villupuram District 605103"
6,1014,"University College of Engineering, Tindivanam, Melpakkam,
Tindivanam, Villupuram District 604001"
7,1015,"University College of Engineering, Arni, Arni to Devikapuram
Road, Thatchur, Arni, Thiruvannamalai District 632326"
8,1026,"University College of Engineering, Kancheepuram, Ponnerikarai
Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village
& Post, Kancheepuram District 631552"
9,1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet,
Avadi IAF, Chennai 600055"
10,1106,"Jaya Engineering College, Thirunindravur, Chennai 602024"
11,1107,"Jaya Institute of Technology, Kanchipadi Post, Thiruvallur-Tiruttani NH Road, Thiruvallur District 631204"
12,1110,"Prathyusha Engineering college, Aranvoyalkuppam, Thiruvallur
District 602025"
13,1112,"R M D Engineering College, Kavaraipettai, Gummidipoondi,
Thiruvallur District 601206"
14,1113,"R M K Engineering College, Kavaraipettai, Gummidipoondi,
Thiruvallur District 601206"
15,1114,"S A Engineering College, Thiruverkadu, Chennai 600077"
16,1115,"Sri Ram Engineering College, Perumalpattu, Veppampattu (R S),
Thiruvallur District 602 024"
17,1116,"Sri Venkateswara College of Engineering and Technology,
Thirupachur, Thiruvallur District 631203"
18,1118,"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering
College, Avadi-Alamathi Road, Chennai 600 062"
19,1120,"Velammal Engineering College, Ambattur-Redhills Road,
Chennai 600066"
20,1121,"Sri Venkateswara Institute of Science and Technology,
Kozhundalur, Thiruvallur District 631203"
