,AGGR_MARK,RANK,COMMUNITY,COLLEGE_CODE,BRANCH_CODE,ALL_CATEGORY
0,200.0,1.0,BC,1.0,CS,OC
1,200.0,7.0,MBC,1.0,CS,OC
2,200.0,14.0,BC,1.0,CS,OC
3,200.0,19.0,BC,1.0,CS,OC
4,200.0,31.0,SC,1.0,EC,OC
5,200.0,38.0,BC,1.0,CS,BC
6,200.0,43.0,BC,1.0,EC,OC
7,200.0,49.0,BC,1.0,CS,BC
8,200.0,65.0,BC,1.0,CS,BC
9,200.0,78.0,BC,1.0,CS,BC
10,200.0,85.0,BC,1.0,EC,OC
11,200.0,90.0,MBC,1.0,CS,MBC
12,200.0,95.0,BC,1.0,CM,OC
13,199.5,111.0,BC,1.0,CM,OC
14,199.5,123.0,BC,1.0,CM,OC
15,199.5,138.0,MBC,1.0,CS,MBC
16,199.5,144.0,BC,1.0,CM,OC
17,199.5,151.0,MBC,1.0,CM,OC
18,199.5,163.0,BC,1.0,CM,OC
19,199.5,168.0,MBC,1.0,CM,OC
20,199.5,173.0,BC,1.0,CM,BC
21,199.5,184.0,MBC,1.0,CM,MBC
22,199.5,191.0,BC,1.0,CM,BC
23,199.5,196.0,BC,1.0,CM,BC
24,199.5,203.0,BC,1.0,EC,BC
25,199.5,214.0,BC,1.0,EC,BC
26,199.5,228.0,MBC,1.0,EC,MBC
27,199.5,240.0,BC,1.0,EE,OC
28,199.0,262.0,BC,1.0,CM,BC
29,199.0,269.0,MBC,1.0,CM,MBC
30,199.0,282.0,BC,1.0,EE,OC
31,199.0,290.0,SC,1.0,CS,SC
32,199.0,298.0,BC,1.0,CM,BC
33,199.0,304.0,BC,1.0,CM,BC
34,199.0,318.0,BC,1.0,IM,OC
35,199.0,324.0,BC,1.0,IM,OC
36,199.0,338.0,OC,1.0,EM,OC
37,199.0,345.0,BC,1.0,IM,OC
38,199.0,359.0,MBC,1.0,CM,MBC
39,199.0,381.0,BC,1.0,EM,OC
40,199.0,387.0,BC,1.0,IM,OC
41,199.0,392.0,OC,1.0,CE,OC
42,199.0,398.0,BCM,1.0,CM,BCM
43,199.0,416.0,BC,1.0,IM,OC
44,199.0,428.0,BC,1.0,IM,OC
45,199.0,435.0,BC,1.0,EM,BC
46,199.0,441.0,BC,1.0,EM,BC
47,199.0,454.0,BC,1.0,EM,BC
